"resourcename","resourcetype","resourcegroup","subscriptionname","recommendationdisplayname","state","severity"
"insightagentwindows","virtualmachines","st-netbase-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-netbase-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-netbase-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"dsc","virtualmachines","st-netbase-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"insightagentwindows","virtualmachines","st-netbase-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-netbase-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"customscript","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"linvmpoc-insight-agent-linux","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"dscforlinux","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"enablevmaccess","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st3l10083-rapid7-insight-agent-linux","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st3l10083-symantec-agent","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"dsc","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"insightagentwindows","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"dsc","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"insightagentwindows","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-netbase-test-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4l10011-rapid7-insight-agent-linux","virtualmachines","st-oracledatastore-devtest-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4l10011-symantec-agent","virtualmachines","st-oracledatastore-devtest-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"bginfo","virtualmachines","st-privatelinkpoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"customscriptextension","virtualmachines","st-privatelinkpoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"dsc","virtualmachines","st-privatelinkpoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"insightagentwindows","virtualmachines","st-privatelinkpoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"jsonaddomainextension","virtualmachines","st-privatelinkpoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"insightagentwindows","virtualmachines","st-quislite-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"microsoft.powershell.dsc","virtualmachines","st-quislite-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azureperformancediagnostics","virtualmachines","st-samplemanager-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"insightagentwindows","virtualmachines","st-samplemanager-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"microsoft.powershell.dsc","virtualmachines","st-samplemanager-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"insightagentwindows","virtualmachines","st-samplemanager-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"microsoft.powershell.dsc","virtualmachines","st-samplemanager-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azureenhancedmonitorforlinux","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"dscforlinux","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4l10096-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4l10096-symantec","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4l10096-vmaccessextension","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"dscforlinux","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4l10129-rapid7-insight-agent-linux","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4l10129-symantec-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"sqliaasextension","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10094-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10094-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"sqliaasextension","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10095-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10095-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10097-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10097-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10098-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10098-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10099-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10099-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10100-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10100-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10101-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10101-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10102-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10102-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10103-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10103-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10104-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10104-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10105-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10105-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10106-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10106-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10107-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10107-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10109-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10109-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10110-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10110-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10111-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10111-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10112-dsc","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10112-rapid7-agent","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10130-domainjoin","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10130-insight-agent-windows","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10130-predomainjoin","virtualmachines","st-sap-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"dscforlinux","virtualmachines","st-sap-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st2l10131-rapid7-insight-agent-linux","virtualmachines","st-sap-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st2l10131-symantec-agent","virtualmachines","st-sap-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st2w10132-domainjoin","virtualmachines","st-sap-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st2w10132-insight-agent-windows","virtualmachines","st-sap-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st2w10132-predomainjoin","virtualmachines","st-sap-preprod-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"insightagentwindows","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"dscforlinux","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"insightagentlinux","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"saphanapoc-symantec","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"saphanapoc-vmaccessextension","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"sqliaasextension","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10010-dsc","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10010-rapid7-agent","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"sqliaasextension","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10011-rapid7-agent","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"sqliaasextension","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10012-dsc","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10012-rapid7-agent","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10013-dsc","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10013-rapid7-agent","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10014-dsc","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10014-rapid7-agent","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10015-dsc","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10015-rapid7-agent","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10016-dsc","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10016-rapid7-agent","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10017-dsc","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10017-rapid7-agent","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"sqliaasextension","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10018-rapid7-agent","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10019-dsc","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10019-rapid7-agent","virtualmachines","st-sappoc-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"sqliaasextension","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10033-dsc","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10033-rapid7-agent","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10034-dsc","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10034-rapid7-agent","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10035-dsc","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10035-rapid7-agent","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10036-dsc","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10036-rapid7-agent","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10037-dsc","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10037-rapid7-agent","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10038-dsc","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10038-rapid7-agent","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"config-pre-join-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"join-stwater-domain","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10039-dsc","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"st4w10039-rapid7-agent","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
"azurecatextensionhandler","virtualmachines","st-sapprj-dev-neu-rg","non-production","only approved vm extensions should be installed","unhealthy","low"
